Further Digital Electronics,12,Mon,900,V/045,Dr R.Gajaweera
Control Engineering,12,Mon,1000,P/L/002,Dr A.Pomfret
Further Digital Electronics,12,Mon,1200,B/B/006,Dr R.Gajaweera
FDE Lab,12,Mon,1400,P/P/001,Dr S.Porter
FDE Lab,12,Mon,1500,P/P/001,Dr S.Porter
High Speed Electornics,12,Tue,1300,P/L/002,Prof A.Marvin
Control Engineering,12,Wed,1100,P/L/002,Dr A.Pomfret
High Speed Electronics,12,Thu,1300,P/L/002,Prof A.Marvin
High Speed Electornics,12,Fri,1000,P/L/002,Prof A.Marvin
Control Engineering,12,Fri,1200,W/222,Dr A.Pomfret
Control Engineering,12,Wed,1100,P/L/002,Dr A.Pomfret,
FDE Lab,12,Mon,1400,,Dr S.Porter,
FDE Lab,12,Mon,1400,,Dr S.Porter,
 ,12,Mon,1400, , ,
Further Digital Electronics,12,Mon,900,V/045,Dr R.Gajaweera,
Further Digital Electronics,16,Mon,900,V/045,Dr R.Gajaweera,
Further Digital Electronics,16,Mon,900,V/045,Dr R.Gajaweera,
Further Digital Electronics,10,Mon,900,P/L/002,Dr R.Gajaweera,
ghfgjgControl Engineering,12,Wed,1100,P/L/002,Dr A.Pomfret,
Control Engineering,12,Wed,1100,P/L/002,Dr A.Pomfret,
High Speed Electronics,12,Thu,1300,P/L/002,Prof A.Marvin,
High Speed Electornics,12,Fri,1000,P/L/002,Prof A.Marvin,
